id,titre,prix,statut,motif_exclusion,niveau_risque,corrections_appliquees,rang_tri
62,"LINK Módulo Suspenso",109.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
64,"LINK Mesa de Centro",209.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
65,"LINK Estante Completa",969.00,INCLUS,,MÉDIO,"description nettoyée",958
66,"PRATELEIRA - ARCO (BRANCO / CARVALHO GRANDSON)",79.00,EXCLU,"prix < 80 €",OK,,
67,"ARCO Estante Completo",859.00,INCLUS,,MÉDIO,"description nettoyée",951
70,"FRESCO -LK ROUPEIRO SZAFA- (C200/A202/L57) FIA+CINZENTO",527.00,EXCLU,"aucune image ; image placeholder",OK,,
71,"LINK Mesa de Jantar",289.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
72,"PRIMO Móvel de Entrada",339.00,INCLUS,,MÉDIO,"description nettoyée",901
94,"MD NEW 05  190X140 VENUS 16 - FIM DE LINHA",431.25,EXCLU,"aucune image ; image placeholder",OK,,
99,"MD SOMM 20  200X160 PARIS GREEN",789.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
101,"MD SAVANA  190X140 SAVANA MIXED BROWN",269.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
102,"MD SAVANA  190X140 SAVANA LIGHT GREY",269.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
103,"MD SAVANA  190X140 SAVANA BLUE",269.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
104,"MD SAVANA  200X160 SAVANA BLUE",299.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
106,"MD SAVANA  200X160 SAVANA MIXED BROWN",299.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
107,"MD SAVANA  200X160 SAVANA NATA",224.25,EXCLU,"aucune image ; image placeholder",OK,,
108,"MD SOMM 23  190X140 MARMORE FOREST - FIM DE LINHA",631.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
109,"MD ROYAL  200X160 ESTRUTURA SWEDEN MEDIUM GREY / ALMOFADA  CAPRI SILVER",599.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
110,"MD ROYAL  200X160 ESTRUTURA SWEDEN BLUE / ALMOFADA  CAPRI ATLANTIC",599.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
111,"MD ROYAL  200X160 ESTRUTURA SWEDEN BEGE / ALMOFADA  CAPRI BEGE",599.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
112,"MD ASTURIAS  190X140 MILANO NATA",329.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
113,"MD ASTURIAS  190X140 MILANO OCEAN",329.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
114,"MD ASTURIAS  190X140 MILANO STEEL",329.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
115,"MD ASTURIAS  200X160 MILANO NATA",379.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
118,"MS DANY  190X140 QUEENS TABAC",299.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
119,"MS FANA  190X140 QUEENS TAUPÉ",249.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
120,"MS ARÃO  200X160 CÉLIA 16 (CINZA)",259.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
121,"CONJ 3 ESPELHOS SORT CINZA/DOURADO",12.90,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
122,"CONJ 3 ESPELHOS SORT BRANCO/DOURADO",12.90,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
123,"ESPELHO PLASTICO 17X25 8LEDS COM SUPORTE",12.90,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
124,"ESPELHO PLASTICO 18X30 8LEDS JANELA SOPO",22.90,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
128,"ESPELHO METAL VIDRO 18X9X22 PRETO",3.20,EXCLU,"prix < 80 €",OK,,
129,"SANTI D`ITALIA Pack 2 Almofadas",14.90,EXCLU,"prix < 80 €",OK,,
130,"FRIDA ST Mesa de Centro",75.00,EXCLU,"prix < 80 €",OK,,
132,"FRIDA Camiseiro",99.00,INCLUS,,MÉDIO,"description nettoyée",778
183,"MATI - GM MÓDULO SUSPENSO W1",99.00,EXCLU,"hors stock",OK,,
213,"SINO - GM ROUPEIRO 260",999.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
214,"SINO - GM ROUPEIRO 230",775.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
215,"MONTANA - GM MÓDULO SUSPENSO W1 CARVALHO",73.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
216,"MONTANA - GM MÓDULO SUSPENSO W1 CARVALHO + CINZA",73.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
217,"MONTANA - GM COMODA K3S CARVALHO",205.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
218,"MONTANA - GM COMODA K3S CARVALHO + CINZA",205.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
221,"MONTANA - GM ROUPEIRO S3D CARVALHO",539.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
222,"DARK Mesa de Centro",255.00,INCLUS,,MÉDIO,"description nettoyée",449
223,"FLOW Mesa de Centro",115.00,INCLUS,,MÉDIO,"description nettoyée",873
227,"CAMPARI Base TV",205.00,INCLUS,,MÉDIO,"description nettoyée",672
230,"BL 140 Mesa de Jantar",199.00,EXCLU,"hors stock",OK,,
231,"SKY Vitrine",289.00,INCLUS,,MÉDIO,"description nettoyée",568
235,"PRIMO Mesa de Centro",219.00,INCLUS,,MÉDIO,"description nettoyée",754
236,"PRIMO Base TV",209.00,EXCLU,"hors stock",OK,,
237,"SKY Estante Completa",689.00,INCLUS,,MÉDIO,"description nettoyée",952
240,"ARDEN Base de TV",269.00,INCLUS,,MÉDIO,"description nettoyée",839
242,"ARDEN Mesa de Centro",229.00,INCLUS,,MÉDIO,"description nettoyée",749
243,"ARDEN Roupeiro",865.00,INCLUS,,MÉDIO,"description nettoyée",375
244,"ARDEN Cómoda",365.00,INCLUS,,MÉDIO,"description nettoyée",826
246,"ARDEN Mesa de Cabeceira",299.00,INCLUS,,MÉDIO,"description nettoyée",903
247,"ANDERS - LK - ROUPEIRO (SOSNA ANDERSEN)",607.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
249,"ANDERS - LK - MESA DE CABECEIRA (SOSNA ANDERSEN)",99.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
250,"LINK Roupeiro",199.00,INCLUS,,MÉDIO,"description nettoyée",848
251,"LINK Cómoda",269.00,INCLUS,,MÉDIO,"description nettoyée",840
252,"LENA Mesa de Centro",89.00,INCLUS,,MÉDIO,"description nettoyée",881
253,"ALVA Mesa de Centro",69.00,EXCLU,"prix < 80 €",OK,,
254,"ANTEK Secretária",179.00,EXCLU,"hors stock",OK,,
255,"MATI Módulo 2 Gavetas",99.00,EXCLU,"hors stock",OK,,
261,"CENTRO ESPELHADO PENAFIEL",10.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
265,"HAMPTON Estúdio Completo",375.00,INCLUS,,MÉDIO,"description nettoyée",824
281,"PRICY 2 Mesa de Cabeceira",39.00,EXCLU,"prix < 80 € ; hors stock",OK,,
290,"COLORADO Mesa de Cabeceira",49.00,EXCLU,"prix < 80 €",OK,,
291,"COLORADO Cómoda",249.00,INCLUS,,MÉDIO,"description nettoyée",413
293,"PRESTIGE Cómoda",199.00,INCLUS,,MÉDIO,"description nettoyée",525
294,"PRESTIGE Mesa de Cabeceira",63.20,EXCLU,"prix < 80 €",OK,,
296,"PRESTIGE Aparador",199.20,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
297,"PRESTIGE KI Base TV",199.00,INCLUS,,MÉDIO,"description nettoyée",791
298,"PRESTIGE - KI - MODULO SUSPENSO (FL)",63.20,EXCLU,"prix < 80 €",OK,,
299,"PRESTIGE Mesa de Jantar",229.00,INCLUS,,MÉDIO,"description nettoyée",845
300,"PRESTIGE Cadeira",79.00,EXCLU,"prix < 80 €",OK,,
301,"PRESTIGE Cama de Casal",239.20,INCLUS,,MÉDIO,"description nettoyée",843
302,"BRAMS Consola",99.00,INCLUS,,MÉDIO,"description nettoyée",714
303,"BRAMS Base TV",119.00,INCLUS,,MÉDIO,"description nettoyée",548
304,"BRAMS Mesa de Centro",119.00,INCLUS,,MÉDIO,"description nettoyée",549
305,"COLORADO - CONJ. 2 MESAS DE CENTRO - 151345",59.00,EXCLU,"prix < 80 €",OK,,
307,"COUNTRY SIDE - Mesa de Centro",99.00,INCLUS,,OK,,586
308,"DOCK89 Conjunto de Mesa e Bancos",89.00,INCLUS,,MÉDIO,"description nettoyée",882
309,"Dock - Mesa Industrial Regulável",79.00,EXCLU,"prix < 80 €",OK,,
310,"DOCK01 Conjunto de Mesa e Bancos",139.00,EXCLU,"hors stock",OK,,
311,"DOCK40 Conjunto de Mesa e Bancos",129.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
312,"DOCK Banco de Bar Regulável",49.00,EXCLU,"prix < 80 €",OK,,
313,"BANDEJA METAL ESPELHO 28X28X4.5 CIRCULO DOURADO BD-164110",13.90,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
314,"ESPELHO REDONDO POVOA",59.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
317,"ARCO Quarto Casal",1243.00,INCLUS,,MÉDIO,"description nettoyée",600
327,"LENE 159 133*190 06 CINZA",44.00,EXCLU,"prix < 80 € ; aucune image ; hors stock ; image placeholder",OK,,
328,"MD Wave  190x140 Ramses 12-16-18 - FIM DE LINHA",599.00,EXCLU,"aucune image ; image placeholder",OK,,
329,"MD Wave  200x160 Ramses 12-16-18 - FIM DE LINHA",645.00,EXCLU,"aucune image ; image placeholder",OK,,
330,"MD Cross  190x140 Royal Grey - FIM DE LINHA",374.25,EXCLU,"aucune image ; image placeholder",OK,,
331,"MD FINE 200X160 KENIA KHAKI",779.00,EXCLU,"aucune image ; image placeholder",OK,,
332,"BELL 18 Cadeira",159.00,INCLUS,,MÉDIO,"description nettoyée",729
345,"BASE TAPI ELEVATÓRIA 220X200 AVANTIS COR 05",611.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
347,"BASIC Colchão Super Espuma",149.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
355,"PIKOLIN NORDICO 220X220 MK 19775 / MK 19741 / cama de 110 a 140cm  OFERTA",0.00,EXCLU,"prix nul / absent ; aucune image ; image placeholder",OK,,
378,"CABECEIRA 8 200X160 (34-790/CINZA)",240.00,EXCLU,"aucune image ; image placeholder",OK,,
385,"ESPEJO 71CM FLORES ORO (2 - 4)",56.34,EXCLU,"prix < 80 €",OK,,
390,"MD KENIA 190X140 CORES SORTIDAS",259.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
393,"MESAS CABECEIRA REJA BRANCA (2 UN)",199.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
394,"MESAS CABECEIRA REJA PRETA (2 UN)",199.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
395,"MESAS CABECEIRA REJA CINZA (2 UN)",199.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
407,"ARTY Cómoda",99.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
415,"COMODA ALTEA JR (TAORMINA ASH)",127.00,EXCLU,"hors stock",OK,,
424,"SOTO - ESTANTE P/ LIVROS (WHITE/PUCCINI OAK)",108.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
425,"ANTHONY JR Mesa de Centro",139.00,INCLUS,,OK,,700
426,"ANTHONY JR Aparador",569.00,INCLUS,,MÉDIO,"description nettoyée",812
427,"ANTHONY Base TV",259.00,INCLUS,,MÉDIO,"description nettoyée",841
428,"ANTHONY JR Vitrine",729.00,EXCLU,"hors stock",OK,,
432,"RELAX 2 Base TV",179.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
433,"JOHNY Aparador",209.00,EXCLU,"hors stock",OK,,
435,"TOP Base TV",279.00,EXCLU,"hors stock",OK,,
437,"TOP JR Bengaleiro",116.00,EXCLU,"hors stock",OK,,
439,"TOP JR Móvel Entrada",145.00,EXCLU,"hors stock",OK,,
440,"TOP JR Espelho",69.00,EXCLU,"prix < 80 € ; hors stock",OK,,
441,"KENDRA JR Consola",129.00,INCLUS,,OK,,955
442,"MOVE JR Consola",179.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
444,"ANNA Sapateira",189.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
446,"BONN Bloco 3 Gavetas",99.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
450,"Mesa de Jantar/ Consola L Jr",379.00,INCLUS,,MÉDIO,"titre normalisé (casse), description nettoyée",565
451,"SOTO JR ESTANSE LIVROS (SONOMA/GRAPHITE)",105.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
452,"SOTO JR MOVEL BAR (SONOMA/GRAPHITE)",89.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
455,"MD WAVE CABECEIRA ATE 150 A X 200 C",609.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
456,"Bell - Mesa Cabeceira",115.00,INCLUS,,OK,,940
457,"BELL Cómoda",270.00,INCLUS,,MÉDIO,"description nettoyée",837
458,"ATLANTIC Aparador",259.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
460,"ATLANTIK Mesa de Jantar",229.00,EXCLU,"hors stock",OK,,
461,"BELL 26 Cadeira",149.00,INCLUS,,MÉDIO,"description nettoyée",890
462,"ATLANTIK Base TV",249.00,INCLUS,,MÉDIO,"description nettoyée",592
469,"MOVEL BAR PRIMO PK COM FRENTE BRANCA",319.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
472,"TUNA Mesa de Cabeceira",129.00,INCLUS,,MÉDIO,"description nettoyée",454
476,"MOLAFLEX Colchão Seaqual Pocket",849.00,INCLUS,,MÉDIO,"description nettoyée",960
479,"RIVERSIDE Bengaleiro",69.00,EXCLU,"prix < 80 €",OK,,
481,"DREAM Conjunto de Mesa e Bancos Infantil",34.00,EXCLU,"prix < 80 €",OK,,
482,"LOFT Base TV",79.00,EXCLU,"prix < 80 €",OK,,
483,"MANGER Mesa de Jantar",169.00,INCLUS,,MÉDIO,"description nettoyée",685
484,"LOFT Mesa de Centro",59.00,EXCLU,"prix < 80 € ; hors stock",OK,,
486,"FACTORY Base TV",39.00,EXCLU,"prix < 80 €",OK,,
487,"3D LK Roupeiro",839.00,INCLUS,,MÉDIO,"description nettoyée",484
489,"3D LK Cómoda",349.00,INCLUS,,MÉDIO,"description nettoyée",507
490,"3D LK Mesa de Centro",139.00,INCLUS,,MÉDIO,"description nettoyée",543
491,"3D Aparador",309.00,EXCLU,"hors stock",OK,,
492,"BROOKLYN Mesa de Centro",145.00,INCLUS,,MÉDIO,"description nettoyée",929
493,"BROOKLYN Consola",79.00,EXCLU,"prix < 80 €",OK,,
494,"VIRGINIA Mesa de Centro",34.00,EXCLU,"prix < 80 €",OK,,
495,"Factory - Mesa de Jantar (150X80X75Cm) 151151",99.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"titre normalisé (casse), description nettoyée",
499,"CHELSEA Aparador",129.00,INCLUS,,MÉDIO,"description nettoyée",704
500,"MADISON - CONSOLA EM METAL PRETO (120X39X79CM) - 151338",39.00,EXCLU,"prix < 80 €",OK,,
501,"MADISON Mesa de Centro",45.00,EXCLU,"prix < 80 €",OK,,
502,"JOYA Mesa de Centro",59.00,EXCLU,"prix < 80 €",OK,,
503,"BALI Mesa de Centro",129.00,INCLUS,,MÉDIO,"description nettoyée",705
504,"BALI Base TV",79.00,EXCLU,"prix < 80 €",OK,,
505,"BROOKLYN - CONSOLA C/ ESTRUTA EM METAL (PRETO) (120X30XH77CM) - 151109",79.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
506,"DOCK60 Conjunto de Mesa e Cadeiras",199.00,INCLUS,,MÉDIO,"description nettoyée",849
507,"DOCK61 Conjunto de Mesa e Cadeiras",89.00,INCLUS,,MÉDIO,"description nettoyée",883
508,"Hampton JR -Mesa Jantar",159.00,INCLUS,,MÉDIO,"description nettoyée",923
509,"HAMPTON Mesa de Centro",145.00,INCLUS,,MÉDIO,"description nettoyée",930
510,"HAMPTON Consola",99.00,EXCLU,"hors stock",OK,,
511,"MADISON Base TV",55.00,EXCLU,"prix < 80 €",OK,,
512,"CHELSEA Mesa de Centro",99.00,INCLUS,,MÉDIO,"description nettoyée",875
513,"Chelsea FR - Consola",89.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
514,"CHELSEA Estante",139.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
515,"CHELSEA Cómoda",149.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
516,"JOYA Consola",129.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
517,"JOYA Base TV",99.00,EXCLU,"hors stock",OK,,
518,"JOYA Mesa de Centro",75.00,EXCLU,"prix < 80 €",OK,,
519,"BRAMS FR Mesa de Jantar",189.00,INCLUS,,MÉDIO,"description nettoyée",682
520,"BALI Cómoda",120.00,INCLUS,,MÉDIO,"description nettoyée",939
521,"RIVERSIDE Consola",69.00,EXCLU,"prix < 80 € ; hors stock",OK,,
524,"MADIS LK Mesa de Centro",219.00,INCLUS,,MÉDIO,"description nettoyée",669
525,"MADIS Vitrine",409.00,INCLUS,,MÉDIO,"description nettoyée",435
526,"54108 Puff Industrial",29.00,EXCLU,"prix < 80 €",OK,,
529,"Cali PK - mesa JANTAR",575.00,EXCLU,"hors stock",OK,,
533,"COMODA 4 GAVETAS VEGAS",299.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
534,"CAMISEIRO 4G 70CM VEGAS",259.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
535,"MÓVEL SUSPENSO MÓVEL VIDRO 126CM VEGAS",299.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
536,"MESA DE CENTRO 90CM VEGAS",159.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
537,"BASE TV 97CM VEGAS",199.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
538,"BASE TV 127,5 CM VEGAS",249.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
539,"BASE TV 195 CM NATURAL",379.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
541,"PIKOLIN Almofada Cooper",17.40,EXCLU,"prix < 80 €",OK,,
542,"TIAGO Base TV",379.00,EXCLU,"hors stock",OK,,
543,"CAMA ALUMINIO LEOPAR - 12",215.25,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
544,"QUARTO COMPLETO GRAPHIC",255.00,EXCLU,"aucune image ; image placeholder",OK,,
546,"SOMMIER MÁLAGA QUEENS TAUPE 200x160 ON LINE",299.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
547,"WAYNE Base TV",139.00,INCLUS,,MÉDIO,"description nettoyée",544
548,"WAYNE Mesa de Centro",145.00,INCLUS,,MÉDIO,"description nettoyée",697
549,"WAYNE Aparador",199.00,INCLUS,,MÉDIO,"description nettoyée",673
550,"SOMMIER ARÃO  QUEENS BLACK 190X140 ON LINE",229.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
551,"WAYNE Mesa de Jantar",129.00,INCLUS,,MÉDIO,"description nettoyée",706
552,"SOMMIER  ARÃO  QUEENS BLACK 200X160 ONLINE",259.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
553,"WAYNE Armário",179.00,INCLUS,,MÉDIO,"description nettoyée",533
555,"SOMMIER MÁLAGA  QUEENS ASH 200X160 ON LINE",274.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
557,"SHEFFIELD Aparador",289.00,EXCLU,"hors stock",OK,,
558,"SHEFFIELD Base TV",175.00,EXCLU,"hors stock",OK,,
559,"SHEFFIELD Mesa de Centro",90.00,EXCLU,"hors stock",OK,,
560,"SHEFFIELD Vitrine",259.00,INCLUS,,MÉDIO,"description nettoyée",660
561,"SHEFFIELD Mesa de Jantar",179.00,EXCLU,"hors stock",OK,,
562,"DIAMOND Mesa de Centro",209.00,INCLUS,,MÉDIO,"description nettoyée",847
563,"DIAMOND Aparador Alto",299.00,INCLUS,,MÉDIO,"description nettoyée",567
564,"DIAMOND Base TV",219.00,INCLUS,,MÉDIO,"description nettoyée",670
565,"DIAMOND Vitrine",269.00,EXCLU,"hors stock",OK,,
566,"COMODA 1P+3G DIAMNOD KSZ104",269.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
568,"EMMA Almofada Original Comfort",56.80,EXCLU,"prix < 80 €",OK,,
569,"EMMA Almofada Original Adapt",91.00,INCLUS,,MÉDIO,"description nettoyée",879
570,"EMMA Almofada Original Adapt Cooling",66.30,EXCLU,"prix < 80 €",OK,,
581,"DONALD Cama",108.00,INCLUS,,MÉDIO,"description nettoyée",538
600,"CAMISEIRO 5 GAVETAS LARA ANDERSON PINO-GRIS  (ARTIGO EM  CÓDIGO ANTIGO)",149.00,EXCLU,"aucune image ; image placeholder",OK,,
614,"Linea KI - Mesa Cabeceira",99.00,INCLUS,,MÉDIO,"description nettoyée",570
615,"LINEA KI Cómoda",189.00,INCLUS,,MÉDIO,"description nettoyée",591
616,"LINEA Camiseiro",189.00,INCLUS,,MÉDIO,"description nettoyée",896
617,"LINEA Aparador",139.00,INCLUS,,MÉDIO,"description nettoyée",646
620,"LINEA KI Mesa de Centro",55.00,EXCLU,"prix < 80 €",OK,,
621,"ROMMY KI Cama Casal",249.00,INCLUS,,MÉDIO,"description nettoyée",661
623,"ROOMY KI Cómoda",129.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
624,"ROOMY Camiseiro",139.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
626,"ROOMY Mesa de Jantar",142.50,INCLUS,,MÉDIO,"description nettoyée",698
627,"ROOMY Cadeira",59.00,EXCLU,"prix < 80 €",OK,,
629,"ROOMY KI Mesa de Centro",45.00,EXCLU,"prix < 80 €",OK,,
631,"LAVITA KI Mesa de Cabeceira",99.00,INCLUS,,MÉDIO,"description nettoyée",876
634,"LAVITA Camiseiro",139.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
637,"LAVITA Mesa de Centro",90.00,EXCLU,"éligible non inclus (au-delà de la cible)",MÉDIO,"description nettoyée",
639,"MD KENIA PRODUÇÃO 190 X 90,CABECEIRA AVANTIS - COR: 26,BASE AVANTIS - COR: 26",269.00,EXCLU,"aucune image ; hors stock ; image placeholder",OK,,
640,"SPIRIT Mesa de Centro",389.00,INCLUS,,OK,,245
641,"INSTA Biblioteca",639.00,INCLUS,,MÉDIO,"description nettoyée",492
642,"INSTA Secretária",729.00,INCLUS,,MÉDIO,"description nettoyée",572
643,"INSTA Vitrine",639.00,INCLUS,,MÉDIO,"description nettoyée",559
644,"INSTA SC Base TV",469.00,INCLUS,,OK,,220
645,"INSTA Mesa de Jantar",629.00,INCLUS,,OK,,177
646,"INSTA Mesa de Centro",299.00,INCLUS,,OK,,513
647,"FACE 18 Tela",49.00,EXCLU,"prix < 80 €",OK,,
652,"ILIAN cómoda",115.00,INCLUS,,MÉDIO,"description nettoyée",585
653,"TIAGO Mesa de Centro",299.00,INCLUS,,MÉDIO,"description nettoyée",352
657,"DIAMOND KOMODA K104 (2 portas) 103,5 x 76,7 x 39 CM",229.00,EXCLU,"aucune image ; image placeholder",OK,,
662,"COLORADO Estante 151375",49.00,EXCLU,"prix < 80 €",OK,,
663,"COLORADO PARTELEIRA RANGE 151379 FL",79.00,EXCLU,"prix < 80 € ; aucune image ; image placeholder",OK,,
664,"BAXTER Mesa de Centro",369.00,INCLUS,,OK,,469
665,"BAXTER Mesa de Jantar",599.00,INCLUS,,OK,,494
